Questions,Answers,Context Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What actions does an MS (Mobile Station) take in the LR Task State ""Not updated"" if the registration is unsuccessful?","In the ""Not updated"" LR Task State, if the registration is unsuccessful, the MS will eventually attempt registration on another LA or TA of the same PLMN, or equivalent PLMN if available. Otherwise, it will enter either the Automatic Network Selection Mode procedure or follow the Manual Network Selection Mode procedure. If these processes do not result in registration, the MS will eventually enter the limited service state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Note 1, what is the significance of MSs having different registration statuses for GPRS and non-GPRS?"," According to Note 1, MSs capable of GPRS and non-GPRS services may have different registration statuses for GPRS and non-GPRS. This implies that the registration status may vary depending on the type of service being used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Figure 1, what are the steps involved in the Overall Idle Mode process?"," The individual steps in the Overall Idle Mode process, as indicated in Figure 1, include setting the PLMN selection mode, presenting the list of available PLMNs to the user, user selection in manual PLMN selection mode, and various steps related to CSGs and cell selection.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What does Figure 2a represent, and what is its significance?",Figure 2a represents the PLMN Selection State diagram in automatic mode. It illustrates the states and transitions involved in the automatic PLMN selection process for a mobile station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Figure 3, what triggers the Location Registration Task State diagram?","According to Figure 3, the Location Registration Task State diagram is triggered when the mobile station has selected a new cell, and the registration area has changed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the purpose of introducing PCS1900 with the regulatory mandate to allocate 3-digit MNC codes?,"The introduction of PCS1900 aims to allocate 3-digit MNC codes, requiring additional functionality to identify the HPLMN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to the assumptions, how many decimal digits can an MNC code consist of?",An MNC code can consist of either 2 or 3 decimal digits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What is the significance of the hexadecimal code ""F"" in the context of networks using a 2-digit MNC code?","Networks using a 2-digit MNC code shall broadcast the hexadecimal code ""F"" in place of the 3rd digit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During the transition period in North America for PCS1900, what rule governs the storage of the 3rd digit of the SIM when a 2-digit MNC is broadcast?","During the transition period, the 3rd digit of the SIM is stored as 0, following the 0 suffix rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explain the restriction regarding the broadcast of MNC codes within a single country (or area identified by a MCC) during the transition period.,"Within a single country, all networks must either broadcast a 2-digit MNC code or a 3-digit MNC code. A mixture of broadcast 2 and 3 digit MNC codes is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the HPLMN matching criteria, what happens if the values of SIM-MCC and BCCH-MCC do not match?","If the values of SIM-MCC and BCCH-MCC do not match, the HPLMN match fails.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the condition for the number of digits used for SIM-MNC in relation to BCCH-MNC in the HPLMN matching criteria?,"If the MCC codes match, then the number of digits used for SIM-MNC must be the same as the number of digits used for BCCH-MNC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the HPLMN matching procedure involve when the 3rd digit of BCCH-MNC is Hex F?,"When the 3rd digit of BCCH-MNC is Hex F, the procedure proceeds to the next step (Step 4) in the matching criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Describe the matching procedure if the EHPLMN list is present and not empty during the HPLMN matching criteria.,"If the EHPLMN list is present and not empty, the matching procedure is done for all entries in the EHPLMN list until a match is found or all matches fail.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the logic flow diagram (Figure A.1), what happens if the EHPLMN list is present and empty?","If the EHPLMN list is present and empty, the matching procedure is done for the MCC/MNC of the IMSI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the control plane solution for steering of roaming in 5GS procedure in a PLMN?,"The purpose of the control plane solution for steering of roaming in 5GS procedure in a PLMN is to allow the HPLMN to update various parameters via NAS signaling, including the ""Operator Controlled PLMN Selector with Access Technology"" list, SOR-CMCI, SOR-SNPN-SI, and others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What criteria determine if a VPLMN and a PLMN are considered to be of the same country while an MS is roaming?,The VPLMN and a PLMN are considered to be of the same country while an MS is roaming only if their MCC values identify the same country. Refer to clause 1.2 for the definition of the country.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What information can the HPLMN update during and after registration in a VPLMN using the control plane solution for steering of roaming in 5GS?,"The HPLMN can update various information during and after registration in a VPLMN, including the ""Operator Controlled PLMN Selector with Access Technology"" list, SOR-CMCI, SOR-SNPN-SI, SOR-SNPN-SI-LS, SOR-SENSE, and slice-based PLMN selection information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the SOR-CMCI in the context of steering of roaming in 5GS?,The SOR-CMCI (Steering of Roaming Connected Mode Control Information) enables the HPLMN to control the timing of a UE in 5GS connected mode to move to idle mode to perform the steering of roaming. It is used to influence the UE's behavior during roaming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the UE handle the situation if the VPLMN alters or removes the steering of roaming information?,"If the UE detects that the VPLMN altered or removed the steering of roaming information, it considers the current VPLMN as the lowest priority PLMN and performs PLMN selection as defined in the annex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the significance of the list of ""PLMNs where registration was aborted due to SOR"" in the UE?","The UE maintains a list of ""PLMNs where registration was aborted due to SOR,"" and if the conditions are met, it performs PLMN selection with the current VPLMN considered as the lowest priority.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the non-subscribed SNPN handle steering of roaming information received from the HPLMN or subscribed SNPN?,The non-subscribed SNPN is mandated to transparently forward the steering of roaming information received from the HPLMN or subscribed SNPN to the UE. It also forwards the acknowledgment of successful reception of the information back to the HPLMN or subscribed SNPN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the REGISTRATION REQUEST message sent by the UE to the VPLMN AMF?," The REGISTRATION REQUEST message is sent by the UE to initiate initial registration, emergency registration, or registration procedures for mobility and periodic registration update to the VPLMN AMF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the VPLMN AMF handle the registration procedure upon receiving the REGISTRATION REQUEST message?,"The VPLMN AMF executes the registration procedure, including providing the registration type to the User Data Management (UDM) and obtaining subscription data if not available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When does the VPLMN AMF invoke the Nudm_SDM_Get service operation to the HPLMN UDM?,The VPLMN AMF invokes Nudm_SDM_Get when it either doesn't have subscription data for the UE or when specific conditions related to the 5GS registration type are met.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions does the HPLMN UDM take if the user subscription information indicates sending the steering of roaming information during initial registration in a VPLMN?,The HPLMN UDM may provide the steering of roaming information to the UE based on operator policy. It can also send the list of preferred PLMN/access technology combinations to the Service Provider Application Function (SP-AF) if supported.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the SOR-AF respond to the HPLMN UDM's Nsoraf_SoR_Get request?,"The SOR-AF responds with either the list of preferred PLMN/access technology combinations, SOR-CMCI, secured packet, or none of them based on operator-specific criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In which scenarios does the UE release the current N1 NAS signaling connection during steering of roaming?,The UE releases the N1 NAS signaling connection when it needs to obtain service on a higher priority PLMN or based on specific conditions related to the steering of roaming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What does the UE do if the security check is not successful after receiving the steering of roaming information during initial registration in a VPLMN?,The UE may release the current N1 NAS signaling connection locally and attempt to obtain service on a higher priority PLMN or take other specified actions based on the scenario.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the trigger for the procedure described in the text?,"The procedure is triggered when the HPLMN UDM supports obtaining a list of preferred PLMN/access technology combinations and SOR-CMCI, if any, or a secured packet from the SOR-AF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 How does the SOR-AF determine that the ME supports the SOR-CMCI?,"The SOR-AF can determine that the ME supports the SOR-CMCI if the Nsoraf_SoR_Info service operation has returned the ""ME support of SOR-CMCI"" indicator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What information can the secured packet obtained by the UDM include?,"The secured packet obtained by the UDM can include SOR-CMCI only if the ""ME support of SOR-CMCI"" indicator is stored for the UE and the USIM of the indicated SUPI supports SOR-CMCI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How does the UE handle a USAT REFRESH command qualifier of type ""Steering of Roaming""?","Depending on whether a SOR-CMCI is included or the UE is configured with the SOR-CMCI, the UE performs specific actions as outlined in the procedure for steering of roaming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When does the UE release the current N1 NAS signalling connection?,"The UE releases the current N1 NAS signalling connection locally and attempts to obtain service on a higher priority PLMN as specified in clause 4.4.3.3 when certain conditions are met, such as a successful security check or when there are no ongoing PDU sessions or services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What does the AMF include in the DL NAS TRANSPORT message sent to the UE?,The AMF includes in the DL NAS TRANSPORT message the steering of roaming information received from the UDM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How does the HPLMN UDM handle the ""ME support of SOR-CMCI"" indicator in the SOR transparent container?","Depending on the value of the ""ME support of SOR-CMCI"" indicator in the SOR transparent container, the HPLMN UDM either stores or deletes the indicator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
